0;54;438;0
5;152;8;0
5;180;6;0
6;148;11;0
6;185;1;0
6;222;15;0
9;102;341;0
10;102;341;0
10;3;79;0
11;102;341;0
11;3;79;0
11;487;118;0
12;102;341;0
12;3;79;0
12;487;118;0
12;72;136;0
13;102;341;0
13;3;79;0
13;487;118;0
13;72;136;0
13;112;77;2
13;366;14;2
13;91;73;6
14;102;341;0
14;3;79;0
14;487;118;0
14;72;136;0
14;112;77;2
14;366;14;2
14;91;73;6
14;301;51;6
14;410;19;6
15;487;118;0
15;72;136;0
15;112;77;2
15;366;14;2
15;301;51;6
16;487;118;0
16;72;136;0
16;112;77;2
16;366;14;2
16;301;51;6
16;162;67;8
16;141;52;8
16;293;69;8
17;487;118;0
17;112;77;2
17;366;14;2
17;301;51;6
17;162;67;8
17;141;52;8
17;293;69;8
18;487;118;0
18;112;77;2
18;366;14;2
18;301;51;6
18;162;67;8
18;141;52;8
18;293;69;8
18;9;0;8
18;278;259;2
19;487;118;0
19;112;77;2
19;366;14;2
19;301;51;6
19;162;67;8
19;141;52;8
19;293;69;8
19;9;0;8
19;278;259;2
21;254;4;2
21;198;0;2
21;224;10;2
21;273;11;2
21;335;13;2
22;254;4;2
22;198;0;2
22;224;10;2
22;273;11;2
22;335;13;2
22;193;8;2
22;428;21;2
22;510;13;2
22;152;24;2
23;254;4;2
23;198;0;2
23;224;10;2
23;273;11;2
23;335;13;2
23;193;8;2
23;428;21;2
23;510;13;2
23;152;24;2
23;392;4;2
23;564;4;2
23;78;5;2
24;254;4;2
24;198;0;2
24;224;10;2
24;273;11;2
24;335;13;2
24;193;8;2
24;428;21;2
24;510;13;2
24;152;24;2
24;392;4;2
24;564;4;2
24;78;5;2
24;28;11;2
24;117;14;2
24;352;0;2
24;375;9;2
24;476;19;2
25;198;0;2
25;273;11;2
25;335;13;2
25;193;8;2
25;428;21;2
25;510;13;2
25;152;24;2
25;392;4;2
25;564;4;2
25;78;5;2
25;117;14;2
25;352;0;2
25;375;9;2
25;476;19;2
26;198;0;2
26;335;13;2
26;510;13;2
26;392;4;2
26;564;4;2
26;78;5;2
26;117;14;2
26;352;0;2
26;375;9;2
26;476;19;2
27;198;0;2
27;510;13;2
27;564;4;2
27;78;5;2
27;117;14;2
27;352;0;2
27;476;19;2
28;198;0;2
28;78;5;2
28;117;14;2
28;352;0;2
29;198;0;2
29;78;5;2
29;117;14;2
29;352;0;2
29;104;0;2
29;93;4;2
29;150;2;2
30;198;0;2
30;117;14;2
30;352;0;2
30;104;0;2
30;150;2;2
31;198;0;2
31;352;0;2
31;104;0;2
31;150;2;2
31;95;1;2
31;171;8;2
32;198;0;2
32;352;0;2
32;104;0;2
32;150;2;2
32;95;1;2
32;171;8;2
32;104;10;2
32;143;4;2
